"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"115_0ml-8","720.93","145.44","364.54","94.56","174.56","162.1","29.64","35.18","138.7","50.1","89.76","9.3","16.99","16.1","35","113.79","14.4","7.08","2642","35","0","0","7.92","0","0","0"
"115_0ml-9","720.93","145.44","364.54","86.11","175.31","143.15","26.45","31.5","122.51","50.47","83.78","8.23","15.37","14.49","35","109.37","14.4","6.2","2571","35","0","0","7.92","0","0","0"
"121_0ml-1","788.64","171.28","427.12","108.91","212.77","188.76","37.85","45.41","197.64","62.15","127.66","11.45","21.84","20.13","46.96","157.97","17.86","7.08","2639","37.8","0","0","7.29","0","0","0"
"121_0ml-10","787.1","171.28","426.21","108.07","212.77","187.36","38.3","45.82","195.33","62.15","126.67","11.45","21.03","19.32","46.1","156.87","17.86","6.2","2642","37.8","0","0","7.16","0","0","0"
"121_0ml-2","787.87","171.28","426.21","106.38","212.77","183.85","36.93","44.18","191.86","62.15","119.68","11.09","21.03","19.32","46.1","154.66","17.86","7.08","2642","37.8","0","0","7.29","0","0","0"
"121_0ml-3","787.1","171.28","426.21","108.91","212.77","187.36","38.3","45.82","196.49","62.15","126.67","11.45","21.03","19.32","46.1","156.87","17.86","7.08","2641","37.8","0","0","7.29","0","0","0"
"121_0ml-4","787.87","171.28","426.21","102.16","212.77","175.43","35.57","42.54","183.77","62.15","127.66","10.73","20.22","18.52","46.1","149.14","17.86","7.08","2646","37.8","0","0","7.29","0","0","0"
"121_0ml-5","787.87","171.28","426.21","106.38","212.77","183.85","36.93","44.59","191.86","62.15","119.68","11.09","21.03","19.32","46.1","154.66","17.86","7.08","2640","37.8","0","0","7.15","0","0","0"
"121_0ml-6","787.1","171.28","426.21","106.38","212.77","183.15","36.93","44.18","191.86","62.15","119.68","11.09","21.03","19.32","46.1","153.55","17.86","7.08","2640","37.8","0","0","7.15","0","0","0"
"121_0ml-7","787.1","171.28","426.21","118.2","212.77","204.2","41.04","49.5","213.82","62.15","126.67","12.16","23.46","20.93","46.1","167.92","17.86","7.97","2656","37.8","0","0","7.15","0","0","0"
"121_0ml-8","787.1","171.28","426.21","109.75","212.77","189.46","38.3","45.82","197.64","62.15","127.66","11.45","21.84","20.13","46.1","157.97","17.86","7.08","2644","37.8","0","0","7.15","0","0","0"
"121_0ml-9","787.1","171.28","426.21","106.38","212.77","183.85","37.39","44.59","191.86","62.15","119.68","11.09","21.03","19.32","46.1","154.66","17.86","7.08","2636","37.8","0","0","7.16","0","0","0"
"13_0ml-1","692.46","138.74","347.31","92.02","167.07","162.1","25.08","29.45","129.45","41.81","78.79","8.23","15.37","15.3","29.88","90.59","12.67","6.2","2656","36.3","31.7","2.79","8.02","0.19","0.26","0.67"
"13_0ml-10","691.69","138.74","347.31","92.02","167.07","161.39","25.08","29.45","129.45","41.81","78.79","8.23","15.37","15.3","29.88","90.59","12.67","6.2","2648","36.5","0","0","7.17","0","0","0"
"13_0ml-2","692.46","138.74","347.31","92.02","167.07","162.8","25.53","29.86","129.45","41.81","78.79","8.23","15.37","15.3","29.88","90.59","12.67","6.2","2642","36.4","0","0","7.19","0","0","0"
"13_0ml-3","691.69","138.74","347.31","99.62","167.07","176.13","27.36","31.91","141.01","41.81","78.79","8.94","16.99","16.1","29.88","96.11","12.67","7.08","2647","36.4","0","0","7.19","0","0","0"
"13_0ml-4","691.69","138.74","347.31","90.34","166.32","159.29","24.62","29.04","127.14","41.81","73.81","7.87","15.37","14.49","29.88","89.48","12.67","5.31","2632","36.4","0","0","7.19","0","0","0"
